Data de Compra,Nome no Cartão,Final do Cartão,Categoria,Descrição,Parcela
23/12/2025,CHARLIZE THERON,1153,Especialidade varejo,NOVO MUNDO,2/2
23/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,VANESSA VINDERFELTES P,2/2
02/01/2026,CHARLIZE THERON,1153,Vestuário / Roupas,LOJAS RENNER FL 135,2/2
13/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
13/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única
17/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única
17/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única
19/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
19/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,OLHAR CLINICA HECKLER,1/5
20/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
20/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única
21/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,Única
21/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única
21/01/2026,CHARLIZE THERON,1153,Vestuário / Roupas,00135  SH BELLA CITTA,1/2
21/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
22/01/2026,CHARLIZE THERON,1153,Departamento / Desconto,SORDI,Única
23/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
23/01/2026,CHARLIZE THERON,1153,Materiais de construção para casa,SANDRO BENEVENUTO DOS,Única
23/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única
26/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 01,Única
27/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL DE CLINICAS D,Única
27/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,ALISON BLUM SARAIVA E,1/2
27/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL DE CLINICAS D,Única
27/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,Única
05/02/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
