Data de Compra,Nome no Cartão,Final do Cartão,Categoria,Descrição,Parcela
09/10/2025,VIN DIESEL,1115,Relacionados a Automotivo,SIMCAL LOJA,4/4
11/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única
11/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única
12/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única
12/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única
12/12/2025,VIN DIESEL,1115,Associação,STOK CENTER 80,Única
12/12/2025,VIN DIESEL,1115,Associação,MIX CENTER,Única
12/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única
12/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única
13/12/2025,VIN DIESEL,1115,Materiais de construção para casa,SANDRO BENEVENUTO DOS,Única
13/12/2025,VIN DIESEL,1115,Assistência médica e odontológica,AGROPECUARIA KG,Única
14/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única
14/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única
16/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,PF CIDADE NOVA,Única
16/12/2025,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,LONDON BAR E RESTAURAN,Única
19/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única
19/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única
21/12/2025,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA VENEZA,Única
21/12/2025,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO PORTAL,Única
21/12/2025,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO PORTAL,Única
21/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,POSTO FORMULA - TIO HU,Única
21/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,COMERCIO DE COMBUSTIVE,Única
22/12/2025,VIN DIESEL,1115,-,Inclusao de Pagamento    ,Única
22/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única
22/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única
23/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,PF CIDADE NOVA,Única
26/12/2025,VIN DIESEL,1115,Empresa para empresa,AMAZON MUSIC,Única
26/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,PF CIDADE NOVA,Única
30/12/2025,VIN DIESEL,1115,Associação,MIX CENTER,Única
30/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única
02/01/2026,VIN DIESEL,1115,Associação,MIX CENTER,Única
02/01/2026,VIN DIESEL,1115,Materiais de construção para casa,SANDRO BENEVENUTO DOS,Única
