Data de Compra,Nome no Cartão,Final do Cartão,Categoria,Descrição,Parcela
02/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO DO ALEMAO,Única
06/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,CASA DE CARNES GOEDEL,Única
07/01/2026,VIN DIESEL,1115,-,Estorno Tarifa,Única
07/01/2026,VIN DIESEL,1115,-,Anuidade Diferenciada,4/12
08/01/2026,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única
08/01/2026,VIN DIESEL,1115,Associação,STOK CENTER 20,Única
09/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 01,Única
10/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,EVINO,Única
03/07/2025,VIN DIESEL,1122,Departamento / Desconto,MP *EBAZARCOMBRLTDA,7/12
05/07/2025,VIN DIESEL,1122,Departamento / Desconto,MP *EBAZARCOMBRLTDA,7/12
12/07/2025,VIN DIESEL,1122,Departamento / Desconto,MLP*MAGALU-MAGAZINE LU,6/10
17/07/2025,VIN DIESEL,1122,Especialidade varejo,MERCADOPAGO *IMPERIOA,6/6
22/09/2025,VIN DIESEL,1122,Casa / Escritório Mobiliário,MERCADO*TRAMADESIGNER,4/12
22/10/2025,VIN DIESEL,1122,Especialidade varejo,MERCADO*IMPORMUSICA,3/5
22/10/2025,VIN DIESEL,1122,Especialidade varejo,MERCADOLIVRE*ECOMPATOS,3/3
30/10/2025,VIN DIESEL,1122,T&E Companhia aérea,UNITED AIRLINES INC,3/5
20/11/2025,VIN DIESEL,1122,Marketing Direto,AMAZON BR,2/2
12/12/2025,VIN DIESEL,1122,Educacional,KIWIFY      *AIMAKERS,Única
12/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
12/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
14/12/2025,VIN DIESEL,1122,Empresa para empresa,MERCADOLIVRE*BARTI,1/10
15/12/2025,VIN DIESEL,1122,Empresa para empresa,MERCADOLIVRE*BARTIFIB,Única
17/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
17/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
21/12/2025,VIN DIESEL,1122,Seguro,ALLIANZ SEGU*08 DE 10,Única
21/12/2025,VIN DIESEL,1122,Elétrico,OPENAI *CHATGPT SUBSCR SA,Única
21/12/2025,VIN DIESEL,1122,Elétrico,OPENAI *CHATGPT SUBSCR SA,Única
21/12/2025,VIN DIESEL,1122,Empresa para empresa,SERV. NUVEM INTELBRAS,Única
23/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
23/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
25/12/2025,VIN DIESEL,1122,Relacionados a Automotivo,MERCADOLIVRE*MERCADOL,Única
25/12/2025,VIN DIESEL,1122,Construção,MERCADOLIVRE*MERCADOL,Única
25/12/2025,VIN DIESEL,1122,Especialidade varejo,MERCADOLIVRE*MERCADOL,Única
25/12/2025,VIN DIESEL,1122,Relacionados a Automotivo,MERCADOLIVRE*MERCADOL,Única
25/12/2025,VIN DIESEL,1122,Consertos em Geral,MERCADOLIVRE*ARTSLUVA,Única
27/12/2025,VIN DIESEL,1122,Serviços de telecomunicações,MLP*MAGALU-EQUIPOOLS P,Única
27/12/2025,VIN DIESEL,1122,Limpeza / Lavanderia,MLP*MAGALU-CLICK PISCI,Única
31/12/2025,VIN DIESEL,1122,Relacionados a Automotivo,MERCADOLIVRE*ROCHEDAO,Única
01/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
01/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
01/01/2026,VIN DIESEL,1122,-,SHOPEE *AMORCOMPREI,Única
01/01/2026,VIN DIESEL,1122,Elétrico,SHOPEE *AMORCOMPREI,Única
02/01/2026,VIN DIESEL,1122,Empresa para empresa,SHOPEE *GUKANIMEIAS,Única
05/01/2026,VIN DIESEL,1122,Elétrico,GAMMA.APP              SA,Única
05/01/2026,VIN DIESEL,1122,Elétrico,GAMMA.APP              SA,Única
05/01/2026,VIN DIESEL,1122,-,MERCADOLIVRE*ROCHEDAO,Única
05/01/2026,VIN DIESEL,1122,Departamento / Desconto,COLOMBO E-CO*76171516,1/10
06/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
06/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
08/01/2026,VIN DIESEL,1122,Empresa serviços,GOOGLE YOUTUBEPREMIUM,Única
09/01/2026,VIN DIESEL,1122,Elétrico,"CURSOR, AI POWERED IDE NE",Única
09/01/2026,VIN DIESEL,1122,Elétrico,"CURSOR, AI POWERED IDE NE",Única
11/01/2026,VIN DIESEL,1122,Transporte,SHOPEE *AJSIMPORTADOS,Única
12/01/2026,VIN DIESEL,1122,Educacional,KIWIFY      *AIMAKERS,Única
12/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
12/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única
09/09/2025,CHARLIZE THERON,1153,Associação,SIMBIOSE,5/12
25/11/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL PRONTOCLINICA,2/2
01/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,2/2
04/12/2025,CHARLIZE THERON,1153,Serviços pessoais,ENDILS BELEZA E ES,2/2
12/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 01,Única
12/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,1/2
12/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única
12/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única
12/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única
13/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única
13/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADOS COTRIJAL,Única
15/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
16/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,Única
17/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
17/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
17/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única
18/12/2025,CHARLIZE THERON,1153,Especialidade varejo,LOJA POREXEMPLO,Única
18/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,CASA DO CONFEITEIRO,Única
18/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,BOURBON P. FUNDO,Única
18/12/2025,CHARLIZE THERON,1153,Associação,STOK CENTER 20,Única
19/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única
20/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 09,Única
22/12/2025,CHARLIZE THERON,1153,Relacionados a Automotivo,POSTOS TRADICAO,Única
22/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,COMERCIAL DI DOMENICO,Única
23/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL DE CLINICAS D,Única
23/12/2025,CHARLIZE THERON,1153,Especialidade varejo,NOVO MUNDO,1/2
23/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,VANESSA VINDERFELTES P,1/2
23/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 01,Única
23/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
24/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única
24/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única
26/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,Única
26/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
26/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
26/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única
29/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
29/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
30/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
30/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única
02/01/2026,CHARLIZE THERON,1153,Vestuário / Roupas,LOJAS RENNER FL 135,1/2
02/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,DOCE MANIA DISTRIB DE,Única
05/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
06/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única
08/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL DE CLINICAS D,Única
08/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
08/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,KR PANIFICADORA,Única
08/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única
09/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
09/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
09/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,CASA DE CARNES GOEDEL,Única
09/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única
12/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única
15/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,X CAO E CIA,Única
15/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,ULTRA COFFEE,Única
15/12/2025,BRIAN TYLER,1114,Transporte,POP 15DEZ 14H05MIN,Única
15/12/2025,BRIAN TYLER,1114,Serviços pessoais,AVATIM CHEIROS DA TERR,1/2
15/12/2025,BRIAN TYLER,1114,Serviços pessoais,HNA*OBOTICARIO,1/2
15/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única
16/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única
16/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única
16/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única
16/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única
18/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,LAS ROSES,Única
18/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,LAS ROSES,Única
18/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,LAS ROSES,Única
18/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única
19/12/2025,BRIAN TYLER,1114,Associação,IFOOD CLUB,Única
19/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA VENEZA,Única
19/12/2025,BRIAN TYLER,1114,Elétrico,"CURSOR, AI POWERED IDE NE",Única
19/12/2025,BRIAN TYLER,1114,Elétrico,"CURSOR, AI POWERED IDE NE",Única
22/12/2025,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única
23/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única
23/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única
23/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única
25/12/2025,BRIAN TYLER,1114,Departamento / Desconto,SHOPEE*LANZARINI E BUS,Única
26/12/2025,BRIAN TYLER,1114,Entretenimento,PPRO   *MICROSOFT,Única
29/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única
29/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única
29/12/2025,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
03/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única
08/01/2026,BRIAN TYLER,1114,TV por assinatura / Serviços de rádio,EBN         *SPOTIFY,Única
08/01/2026,BRIAN TYLER,1114,Associação,MIX CENTER,Única
12/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única
12/01/2026,BRIAN TYLER,1114,Vestuário / Roupas,PLAY TENNIS,1/3
21/07/2025,EVA MENDES,1117,Assistência médica e odontológica,HERMES E VIANNA COMERC,6/10
07/11/2025,EVA MENDES,1117,Assistência médica e odontológica,OCULAR OFTALMOLOGIA E,3/5
02/12/2025,EVA MENDES,1117,Empresa para empresa,MLP    *MAGALU-FISCHER,2/2
03/12/2025,EVA MENDES,1117,Departamento / Desconto,MAG*MAGALU-MAGAZINE LU,2/2
12/12/2025,EVA MENDES,1117,Serviços pessoais,NH COMERCIO DE COSMETI,Única
12/12/2025,EVA MENDES,1117,Serviços pessoais,AVATIM CHEIROS DA TERR,1/2
12/12/2025,EVA MENDES,1117,Vestuário / Roupas,LUPO,Única
12/12/2025,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
23/12/2025,EVA MENDES,1117,Especialidade varejo,BATH & BODY WORKS 3136 AL,Única
23/12/2025,EVA MENDES,1117,Especialidade varejo,BATH & BODY WORKS 3136 AL,Única
05/01/2026,EVA MENDES,1117,Vestuário / Roupas,FAMOUS FOOTWEAR #2349  SC,Única
05/01/2026,EVA MENDES,1117,Vestuário / Roupas,FAMOUS FOOTWEAR #2349  SC,Única
07/01/2026,EVA MENDES,1117,TV por assinatura / Serviços de rádio,NETFLIX.COM,Única
09/01/2026,EVA MENDES,1117,Transporte,UBER *TRIP HELP.UBER.C,Única
09/01/2026,EVA MENDES,1117,Transporte,UBER *TRIP HELP.UBER.C,Única
09/01/2026,EVA MENDES,1117,Transporte,UBER   *TRIP,Única
09/01/2026,EVA MENDES,1117,Transporte,UBER   *TRIP,Única
