Data de Compra,Nome no Cartão,Final do Cartão,Categoria,Descrição,Parcela,Valor (em R$)
02/01/2026,CHARLIZE THERON,1153,Vestuário / Roupas,LOJAS RENNER FL 135,2/2,59.95
13/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,124.04
13/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única,52.96
17/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única,93.38
17/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única,51.63
19/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,54.24
19/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,OLHAR CLINICA HECKLER,1/5,198.0
20/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,145.75
20/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única,53.36
21/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,Única,226.18
21/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única,23.04
21/01/2026,CHARLIZE THERON,1153,Vestuário / Roupas,00135  SH BELLA CITTA,1/2,59.95
21/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,23.99
22/01/2026,CHARLIZE THERON,1153,Departamento / Desconto,SORDI,Única,99.99
23/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,232.05
23/01/2026,CHARLIZE THERON,1153,Materiais de construção para casa,SANDRO BENEVENUTO DOS,Única,10.0
23/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única,41.79
26/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 01,Única,66.42
27/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL DE CLINICAS D,Única,46.98
27/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,ALISON BLUM SARAIVA E,1/2,225.0
27/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL DE CLINICAS D,Única,73.4
27/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,Única,48.2
05/02/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,35.36
05/02/2026,CHARLIZE THERON,1153,Especialidade varejo,PONTO UTIL,Única,24.9
05/02/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA VENEZA,Única,7.5
05/02/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única,90.21
15/12/2025,BRIAN TYLER,1114,Serviços pessoais,AVATIM CHEIROS DA TERR,2/2,100.0
15/12/2025,BRIAN TYLER,1114,Serviços pessoais,HNA*OBOTICARIO,2/2,126.09
12/01/2026,BRIAN TYLER,1114,Vestuário / Roupas,PLAY TENNIS,2/3,53.3
13/01/2026,BRIAN TYLER,1114,Transporte,SERVICOSMIRANDA,Única,18.58
17/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA VENEZA,Única,22.9
19/01/2026,BRIAN TYLER,1114,Associação,IFOOD CLUB,Única,7.95
19/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única,11.5
19/01/2026,BRIAN TYLER,1114,Serviços Profissionais,DISCORD* RYOMENSUKUNAB SA,Única,42.01
19/01/2026,BRIAN TYLER,1114,Serviços Profissionais,DISCORD* RYOMENSUKUNAB SA,Única,1.47
19/01/2026,BRIAN TYLER,1114,Departamento / Desconto,SORDI,Única,46.98
19/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única,14.84
19/01/2026,BRIAN TYLER,1114,Elétrico,"CURSOR, AI POWERED IDE NE",Única,3.96
19/01/2026,BRIAN TYLER,1114,Elétrico,"CURSOR, AI POWERED IDE NE",Única,113.23
20/01/2026,BRIAN TYLER,1114,Transporte,SERVICOSMIRANDA,Única,7.5
20/01/2026,BRIAN TYLER,1114,Serviços pessoais,SPARKY S BARBER SHOP L,1/2,52.45
20/01/2026,BRIAN TYLER,1114,Serviços pessoais,SPARKY S BARBER SHOP L,Única,70.0
20/01/2026,BRIAN TYLER,1114,Transporte,DL*99 RIDE,Única,12.0
20/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única,11.5
21/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única,22.47
21/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única,19.73
22/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única,13.19
22/01/2026,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única,15.58
22/01/2026,BRIAN TYLER,1114,Vestuário / Roupas,MERCADOLIVRE*FERNADA,1/3,25.67
22/01/2026,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,IFD*REFINARE PIZZARIA,Única,89.87
26/01/2026,BRIAN TYLER,1114,Entretenimento,MICROSOFT*XBOX GAME PA,Única,119.9
27/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única,12.5
29/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,3.9
29/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,4.9
29/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,16.9
29/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,1.9
30/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,2.9
30/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,2.9
30/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,1.9
01/02/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,27.9
01/02/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,2.9
01/02/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,7.9
02/02/2026,BRIAN TYLER,1114,Elétrico,CURSOR USAGE MID  JAN  NE,Única,3.85
02/02/2026,BRIAN TYLER,1114,Elétrico,CURSOR USAGE MID  JAN  NE,Única,110.08
03/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única,9.9
03/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única,1.9
06/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única,1.9
07/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única,2.9
08/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única,7.9
08/02/2026,BRIAN TYLER,1114,TV por assinatura / Serviços de rádio,DM*SPOTIFY,Única,23.9
10/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única,279.9
10/02/2026,BRIAN TYLER,1114,Empresa para empresa,APPLECOMBILL,Única,109.9
21/07/2025,EVA MENDES,1117,Assistência médica e odontológica,HERMES E VIANNA COMERC,7/10,112.5
07/11/2025,EVA MENDES,1117,Assistência médica e odontológica,OCULAR OFTALMOLOGIA E,4/5,132.0
12/12/2025,EVA MENDES,1117,Serviços pessoais,AVATIM CHEIROS DA TERR,2/2,64.0
19/01/2026,EVA MENDES,1117,Restaurante / Lanchonete / Bar,MCDONALD'S F17278      CH,Única,2.07
19/01/2026,EVA MENDES,1117,Restaurante / Lanchonete / Bar,MCDONALD'S F17278      CH,Única,59.22
19/01/2026,EVA MENDES,1117,Transporte,UBER   * PENDING       SA,Única,90.47
19/01/2026,EVA MENDES,1117,Transporte,UBER   * PENDING       SA,Única,3.17
19/01/2026,EVA MENDES,1117,Transporte,UBER   *TRIP           SA,Única,16.98
19/01/2026,EVA MENDES,1117,Transporte,UBER   *TRIP           SA,Única,0.59
23/01/2026,EVA MENDES,1117,Relacionados a Automotivo,POSTO FORMULA - TIO HU,Única,179.02
24/01/2026,EVA MENDES,1117,Materiais de construção para casa,CONSTRUMOVEIS PORTELLA,Única,64.9
24/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO PORTELLA,Única,33.64
26/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única,24.99
26/01/2026,EVA MENDES,1117,Associação,MIX CENTER,Única,112.36
28/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única,26.89
29/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PURA E NUTRI PRODUTOS,Única,18.32
29/01/2026,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,65.21
29/01/2026,EVA MENDES,1117,Associação,MIX CENTER,Única,71.73
30/01/2026,EVA MENDES,1117,Assistência médica e odontológica,OPTICA RUDI,1/3,103.34
30/01/2026,EVA MENDES,1117,Assistência médica e odontológica,SAO JOAO FARMACIAS,Única,12.9
01/02/2026,EVA MENDES,1117,-,Estorno IOF Exterior,Única,-116.53
01/02/2026,EVA MENDES,1117,-,Estorno IOF Exterior,Única,-116.53
01/02/2026,EVA MENDES,1117,Associação,MIX CENTER,Única,106.87
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única,-3329.39
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única,116.53
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única,3329.39
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única,116.53
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única,-3329.39
01/02/2026,EVA MENDES,1117,Serviços financeiros,BUNQ,Única,3329.39
